Region;Country;Happiness score;Whisker-high;Whisker-low; GDP per capita; Social support;Healthy life expectancy; Freedom to make life choices; Generosity;Perceptions of corruption;Dystopia ;
Europe;Norway;7.53700017929077;7.59444482058287;7.47955553799868;1.61646318435668;1.53352355957031;0.796666502952575;0.635422587394714;0.36201223731041;0.315963834524155;2.27702665328979;
Europe;Denmark;7.52199983596801;7.58172806486487;7.46227160707116;1.4823830127716;1.55112159252166;0.792565524578094;0.626006722450256;0.355280488729477;0.40077006816864;2.31370735168457;
Europe;Iceland;7.50400018692016;7.62203047305346;7.38596990078688;1.480633020401;1.6105740070343;0.833552122116088;0.627162635326385;0.475540220737457;0.153526559472084;2.32271528244018;
Europe;Switzerland;7.49399995803833;7.56177242040634;7.42622749567032;1.56497955322265;1.51691174507141;0.858131289482116;0.620070576667785;0.290549278259277;0.367007285356522;2.2767162322998;
Europe;Finland;7.46899986267089;7.52754207581282;7.41045764952898;1.44357192516326;1.54024672508239;0.809157669544219;0.617950856685638;0.24548277258873;0.38261154294014;2.43018150329589;
Europe;Netherlands;7.3769998550415;7.42742584124207;7.32657386884093;1.50394463539123;1.42893922328948;0.810696125030517;0.585384488105773;0.470489829778671;0.282661825418472;2.29480409622192;
North America;Canada;7.31599998474121;7.38440283536911;7.24759713411331;1.47920441627502;1.48134899139404;0.834557652473449;0.611100912094116;0.435539722442627;0.287371516227722;2.18726444244384;
Australia and Oceania;New Zealand;7.3140001296997;7.3795104418695;7.24848981752992;1.40570604801177;1.54819512367248;0.816759705543518;0.614062130451202;0.50000512599945;0.382816702127457;2.04645633697509;
Europe;Sweden;7.28399991989135;7.34409487739205;7.22390496239066;1.49438726902008;1.47816216945648;0.830875158309936;0.612924098968505;0.385399252176285;0.384398728609085;2.09753799438476;
Australia and Oceania;Australia;7.28399991989135;7.35665122494102;7.2113486148417;1.48441493511199;1.51004195213317;0.843886792659759;0.601607382297515;0.477699249982834;0.301183730363846;2.06521081924438;
Asia;Israel;7.21299982070922;7.27985325649381;7.14614638492465;1.37538242340087;1.37628996372222;0.83840399980545;0.405988603830338;0.330082654953003;0.0852421000599861;2.80175733566284;
North America;Costa Rica;7.0789999961853;7.16811166629195;6.98988832607865;1.10970628261566;1.41640365123748;0.759509265422821;0.580131649971008;0.214613229036331;0.100106589496136;2.89863920211791;
Europe;Austria;7.00600004196166;7.07066981211305;6.94133027181029;1.48709726333618;1.4599449634552;0.815328419208526;0.567766189575195;0.316472321748734;0.221060365438461;2.1385064125061;
North America;United States;6.99300003051757;7.07465674757957;6.91134331345558;1.54625928401947;1.41992056369781;0.77428662776947;0.505740523338317;0.392578780651093;0.135638788342476;2.21811342239379;
Europe;Ireland;6.97700023651123;7.04335166752338;6.91064880549908;1.53570663928985;1.55823111534118;0.809782624244689;0.573110342025756;0.42785832285881;0.29838815331459;1.77386903762817;
Europe;Germany;6.95100021362304;7.00538156926631;6.89661885797977;1.48792338371276;1.47252035140991;0.798950731754302;0.562511384487152;0.336269170045853;0.276731938123703;2.01576995849609;
Europe;Belgium;6.89099979400634;6.95582075044512;6.82617883756756;1.46378076076507;1.46231269836425;0.818091869354248;0.539770722389221;0.231503337621689;0.251343131065369;2.12421035766601;
Europe;Luxembourg;6.86299991607666;6.92368609987199;6.80231373228133;1.74194359779357;1.45758366584777;0.845089495182037;0.59662789106369;0.283180981874466;0.31883442401886;1.61951208114624;
